# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8211595664897497,4.454530899583126,0.032327586389338615,0,2.0,0.09021081159539203,0.0,0.0,0.0
 0.10994504700170846,1.8332474779258798,4.454537719859349,0.032327586389338615,0.2198900940034169,2.0,0.09021081159539203,0.0,1.3650280567474689,0.0
 0.15604730997176688,1.8455103105669102,4.454558107743885,0.09525846882301826,0.31209461994353377,2.0,0.08574756680008176,0.0,1.6970368381022558,0.0
 0.1917999227081118,1.8579467119118012,4.4545919538205405,0.15593196969499948,0.3835998454162236,2.0,0.08157421931920063,0.0,1.9220004464428526,0.0
 0.22225192063264165,1.8705553294595125,4.4546391486731185,0.21446072330102267,0.4445038412652833,2.0,0.07766737925184963,0.0,2.084601961844326,0.0
 0.24935023635519937,1.8833348107090047,4.454699582885422,0.27094992541894347,0.49870047271039875,2.0,0.07400589176075623,0.0,2.204967241899205,0.0
 0.27408893042325994,1.896283803159238,4.454773147041255,0.32549793544638317,0.5481778608465199,2.0,0.07057059078612771,0.0,2.294555994167047,0.0
 0.29705585113703814,1.9094009543091723,4.454859731724423,0.37819682103774227,0.5941117022740762,1.9999999999999951,0.06734408457891021,0.0,2.3607293555640396,0.0
 0.3186322467139069,1.9226849116577682,4.454959227518728,0.4291328514633184,0.6372644934278137,2.0,0.06431056608331175,0.0,2.408579413870254,0.0
 0.33908168411867057,1.9361343227039856,4.455071525007976,0.47838694542166055,0.678163368237341,2.0,0.06145564728066076,0.0,2.4418089960431053,0.0
 0.35859514012304844,1.9497478349467847,4.455196514775968,0.5260350778370418,0.7171902802460968,2.0,0.05876621178365469,0.0,2.4632085180858345,0.0
 0.3773160775207614,1.9635240958851254,4.45533408740651,0.5721486503016401,0.7546321550415227,2.0,0.056230286016062565,0.0,2.4749374312303147,0.0
 0.3953553934460104,1.9774617530179686,4.455484133483407,0.6167948285188278,0.7907107868920207,2.0,0.05383692400083421,0.0,2.4787013653347016,0.0
 0.4128008277980961,1.9915594538442738,4.45564654359046,0.6600368504661996,0.8256016555961923,2.000000000000006,0.05157610604008331,0.0,2.475869314974901,0.0
 0.4297231496874604,2.0058158458630015,4.455821208311474,0.7019343079702047,0.8594462993749208,2.0,0.04943864807755382,0.0,2.4675543323881546,0.0
 0.4461803745308647,2.020229576573112,4.456008018230254,0.742543404431633,0.8923607490617294,2.0,0.047416121163940214,0.0,2.454670921684338,0.0
 0.4622207268876851,2.0347992934735655,4.456206863930603,0.781917190935491,0.9244414537753702,2.0,0.045500780550831676,0.0,2.4379769893588783,0.0
 0.47788477630903153,2.0495236440633215,4.456417635996326,0.8201057829849138,0.9557695526180631,2.0,0.04368550070114288,0.0,2.418105189574984,0.0
 0.4932070115332508,2.0644012758413406,4.456640225011226,0.8571565594964871,0.9864140230665016,2.0,0.04196371885886504,0.0,2.3955868150199895,0.0
 0.508217023337467,2.0794308363065834,4.456874521559106,0.8931143458679617,1.016434046674934,2.0,0.040329383030794204,0.0,2.370870297467882,0.0
 0.5229404085427446,2.09461097295801,4.457120416223771,0.9280215825293324,1.0458808170854892,2.0,0.038776906848330746,0.0,2.3443357401897487,0.0
 0.5373994713740388,2.10994033329458,4.4573777995890245,0.9619184802943845,1.0747989427480775,2.0,0.03730112763021645,0.0,2.3163064756259644,0.0
 0.5516137749495912,2.125417564815254,4.457646562238671,0.9948431637129499,1.1032275498991824,2.0,0.035897269391543606,0.0,2.2870583573108925,0.0
 0.5656005801799037,2.1410413150189918,4.457926594756515,1.0268318035070159,1.1312011603598073,2.0,0.034560909312297466,0.0,2.256827298184276,0.0
 0.5793751988819829,2.156810231404754,4.458217787726358,1.0579187390159477,1.1587503977639657,2.0,0.033287947783764496,0.0,2.2258154420971463,0.0
 0.5929512806935124,2.1727229614715005,4.458520031732007,1.0881365915552246,1.1859025613870247,1.9999999999999836,0.03207458082547017,0.0,2.1941962466389633,0.0
 0.6063410483045572,2.188778152718192,4.458833217357263,1.1175163693907468,1.212682096609114,2.0,0.03091727552806565,0.0,2.1621187125198893,0.0
 0.6195554919111649,2.204974452643788,4.459157235185932,1.1460875651881322,1.2391109838223295,2.0,0.02981274753430411,0.0,2.129710899291278,0.0
 0.6326045311806853,2.221310508747249,4.459491975801818,1.1738782463457096,1.26520906236137,1.999999999999983,0.02875794093533221,0.0,2.0970828931951417,0.0
 0.6454971511011119,2.237784968527535,4.459837329788723,1.2009151390293034,1.2909943022022234,2.0,0.02775001046431347,0.0,2.0643292999510154,0.0
 0.6582415166630291,2.254396479483607,4.460193187730452,1.2272237062680555,1.3164830333260578,2.0,0.026786303091722353,0.0,2.03153135937909,0.0
 0.6708450702535151,2.2711436891144245,4.460559440210808,1.252828220626743,1.3416901405070298,2.0,0.02586434469183103,0.0,1.998758749137892,0.0
 0.6833146148298722,2.288025244918947,4.460935977813598,1.2777518319465015,1.366629229659744,2.0,0.024981825194011716,0.0,1.9660711152012462,0.0
 0.6956563853191113,2.305039794396136,4.461322691122622,1.3020166304158378,1.3913127706382225,2.000000000000018,0.02413658613081915,0.0,1.9335193990384378,0.0
 0.7078761102081013,2.3221859850449507,4.461719470721687,1.3256437055396126,1.4157522204162023,2.0,0.023326608797056267,0.0,1.901146957072362,0.0
