# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.81,4.6,0.01507345217893255,0,2.0,0.04203935682591418,0.0,0.0,0.03083913506820136
 0.1152111049942684,6.823273598254655,4.600003492036496,0.01507345217893255,0.2304222099885368,2.0,0.04203935682591418,0.0035530108282749717,0.6778993951431013,0.22969864978069676
 0.1616130818165259,6.836118783519253,4.6000139234840836,0.04652932420018511,0.3232261636330518,2.0,0.04600711713950248,0.014211482251502705,0.9596606659322479,0.5118964756546638
 0.1963119902223065,6.848538380755579,4.600031227349912,0.0798285017479986,0.39262398044461305,2.0000000000000018,0.0504876367227939,0.031973731173485787,1.239627180900259,0.8727462063092317
 0.22480048020483256,6.860535214925412,4.6000553366411285,0.11514360827314266,0.4496009604096652,2.0,0.05556612671139609,0.05683695272921396,1.5365214426338416,1.3086296469677012
 0.24922317922637988,6.872112110990542,4.6000861843648835,0.15266960900674265,0.4984463584527598,2.0,0.06134531633794256,0.08879722072777985,1.861547408452375,1.81935429781783
 0.2706880844355704,6.883271893912745,4.600123703528326,0.19262754767158718,0.5413761688711409,2.0000000000000027,0.06794979236093406,0.12784948827237297,2.2244046166334734,2.406805009870034
 0.2898579382856568,6.894017388653812,4.600167827138605,0.23526905907590834,0.5797158765713137,2.0,0.07553161100251414,0.17398758855723728,2.6351442457149927,3.07443443251774
 0.3071673486674142,6.90435142017552,4.600218488202867,0.28088185224011564,0.6143346973348285,2.0,0.08427761601182267,0.22720423584149219,3.105160428839326,3.8270842200126203
 0.32292001761650024,6.914276813439656,4.600275619728263,0.3297964165094236,0.6458400352330006,2.0,0.09441906694188076,0.2874910265996222,3.6479975400975904,4.670972916387549
 0.3373383016559116,6.9237963934080025,4.600339154721942,0.38239428121762464,0.6746766033118233,2.0,0.10624443535670425,0.3548384408484956,4.120352944275962,5.404125991415877
 0.35110507965486587,6.932912985042343,4.600409026191051,0.43911826547880933,0.6497958892195541,-1.8073011778180184,0.12011658397529683,0.42923584365069656,4.478165484577621,5.942641414818967
 0.3648086901301845,6.941629413304461,4.6004851671427405,0.5004853009234776,0.6223886682689168,-2.0,0.1364960973871029,0.5106714867938722,4.874259684325723,6.472521720721531
 0.37847585536639555,6.949948503156138,4.600567510584159,0.5671026134333591,0.5950543377964949,-1.9999999999999918,0.15597334551107453,0.5991325106459383,5.3252617111872285,7.004348500825983
 0.39210630729615936,6.9578730795591595,4.600655989522455,0.6396883372011084,0.5677934339369672,-2.0,0.17931314417825162,0.6946049461857601,5.841769360293021,7.538107691780866
 0.4056997415124115,6.965405967475308,4.600750536964778,0.719098044706769,0.540606565504463,-2.0,0.2075178445373393,0.7970737172090075,6.437060727851398,8.073796352107973
 0.41925580866182727,6.9725499918663685,4.6008510859182765,0.8063592721783897,0.5134944312056314,-2.0,0.24191786994787334,0.9065226427088913,7.127949970898889,8.611426255654752
 0.4327741032237716,6.979307977694122,4.600957569390099,0.9027169995078032,0.48645784208174286,-1.999999999999996,0.2843038734262185,1.0229344394312934,7.935979505916372,9.151028863976313
 0.4462541486925753,6.985682749920354,4.601069920387394,1.0096943640870504,0.45949775114413544,-2.0,0.33712331901626336,1.1462907246040293,8.88910877373367,9.692662318342443
 0.45969537773334174,6.991677133506845,4.601188071917312,1.129174911083091,0.43261529306260255,-2.0,0.4037790361875714,1.2765720188396763,10.024150775428641,10.236421447601076
 0.47309710518996917,6.997293953415382,4.601311956987,1.2635158477595263,0.40581183814934774,-1.9999999999999958,0.4890932619065085,1.4137577492116016,11.390360246556028,10.782452377912058
 0.48645849073025677,7.002536034607746,4.6014415086036085,1.4157068424565267,0.3790890670687726,-1.9999999999999958,0.6000478117347471,1.5578262525026754,13.054840300807186,11.330974334789484
 0.4997784861396601,7.007406202045722,4.601576659774285,1.5895972553337718,0.35244907624996596,-2.0,0.7469996304343041,1.7087547786261381,15.110902774612178,11.882312994445337
 0.5130557593158254,7.011907280691092,4.601717343506179,1.7902288394107717,0.32589452989763545,-1.9999999999999958,0.9457442407370433,1.8665194942180874,17.69138178821629,12.436952955815698
 0.5262885819185692,7.0160420955056395,4.601863492806439,2.024335756211651,0.2994288846921477,-2.0000000000000084,1.2211539705197152,2.031095486401067,20.990563583668827,12.995622992460673
 0.5394746585242416,7.019813471451148,4.602015040682214,2.301118935622145,0.27305673148080284,-2.000000000000004,1.6138807513477318,2.202456766718091,25.301752508041968,13.559439805295636
 0.5526108581811665,7.023224233489401,4.602171920140653,2.633487808237885,0.24678433216695303,-1.9999999999999978,2.1933569194416886,2.3805762752365096,31.08465491994664,14.13016118353469
 0.5656927761567371,7.026277206582184,4.602334064188905,3.040134714199543,0.22062049621581187,-2.000000000000002,3.0846024671536205,2.5654258848211016,39.0930768595465,14.71065540106153
 0.5787139853097122,7.0289752156912755,4.6025014058341185,3.5491738444210297,0.19457807790986176,-1.9999999999999916,4.527747575148817,2.7569764055756667,50.63363728180066,15.30582721048318
 0.5916646857946251,7.0313210857784645,4.602673878083443,4.204914915319348,0.16867667694003607,-1.9999999999999958,7.022864097205438,2.955197589452464,68.13532898518349,15.92458892943944
 0.6045291023572092,7.033317641805529,4.602851413944025,5.081436170013465,0.14294784381486778,-1.9999999999999936,11.725862927214504,3.1600581350286894,96.5442861528457,16.58447574974256
